/-----------------------------------------
| State-action rewards from Q-Learning
\-----------------------------------------

('forward', 'forward', 'red', 'left')
 -- forward : -32.21
 -- right : -15.58
 -- None : 0.00
 -- left : -32.78

('forward', 'right', 'green', None)
 -- forward : 1.87
 -- right : 0.00
 -- None : 0.00
 -- left : 0.95

('forward', 'left', 'red', 'forward')
 -- forward : -33.29
 -- right : 1.32
 -- None : 0.00
 -- left : -7.62

('right', 'left', 'red', 'left')
 -- forward : -32.30
 -- right : 0.00
 -- None : -0.30
 -- left : 0.00

('left', 'left', 'red', None)
 -- forward : -9.08
 -- right : 0.78
 -- None : 0.00
 -- left : -8.26

('right', None, 'green', 'forward')
 -- forward : 0.00
 -- right : 0.00
 -- None : -4.11
 -- left : -16.56

('left', None, 'red', 'forward')
 -- forward : -9.39
 -- right : -0.26
 -- None : 2.11
 -- left : -7.43

('forward', None, 'red', 'right')
 -- forward : -8.13
 -- right : -0.31
 -- None : 0.00
 -- left : -39.15

('forward', 'left', 'red', 'right')
 -- forward : 0.00
 -- right : 1.36
 -- None : 1.21
 -- left : 0.00

('left', None, 'red', 'right')
 -- forward : 0.00
 -- right : 0.32
 -- None : 0.00
 -- left : -31.80

('left', 'left', 'green', 'left')
 -- forward : 0.00
 -- right : 0.00
 -- None : 0.00
 -- left : 2.48

('left', 'left', 'red', 'forward')
 -- forward : 0.00
 -- right : 0.00
 -- None : 0.00
 -- left : 0.00

('right', None, 'green', 'left')
 -- forward : -0.23
 -- right : 0.00
 -- None : 0.00
 -- left : 0.62

('right', 'left', 'green', 'right')
 -- forward : 0.00
 -- right : 0.00
 -- None : -3.59
 -- left : 0.00

('left', 'forward', 'red', 'forward')
 -- forward : 0.00
 -- right : 0.00
 -- None : 0.00
 -- left : 0.00

('left', 'left', 'red', 'left')
 -- forward : 0.00
 -- right : 0.00
 -- None : 0.00
 -- left : 0.00

('forward', 'left', 'red', 'left')
 -- forward : 0.00
 -- right : 0.00
 -- None : 1.11
 -- left : 0.00

('right', None, 'red', 'left')
 -- forward : -8.08
 -- right : 2.31
 -- None : 0.14
 -- left : -10.30

('forward', 'left', 'green', 'right')
 -- forward : 0.00
 -- right : 1.38
 -- None : -4.63
 -- left : 0.00

('left', 'left', 'green', None)
 -- forward : 0.00
 -- right : 0.31
 -- None : -4.24
 -- left : 0.00

('right', None, 'red', 'right')
 -- forward : 0.00
 -- right : 0.00
 -- None : 1.49
 -- left : 0.00

('left', 'right', 'red', 'left')
 -- forward : 0.00
 -- right : -0.08
 -- None : 0.00
 -- left : 0.00

('right', 'right', 'green', None)
 -- forward : 0.00
 -- right : 0.00
 -- None : 0.00
 -- left : 0.06

('forward', None, 'green', 'left')
